id,assessorID,legalDescription,ownerOccupied,yearBuilt,zoning,lotSize,propertyType,subdivision
"705-Chapel-Rd,-Glenside,-PA-19038",54-00-04024-008,LOT:91 DIST:54 CITY/MUNI/TWP:UPPER DUBLIN TOWNSHIP,1.0,1956,B,15862.0,Single Family,FAIRWAY ESTATES SEC 05
"54-Albero-Ct,-Rancho-Palos-Verdes,-CA-90275",7573-019-036,TR=45667 LOT 15,1.0,1991,RPRS1-RS20,23007.0,Single Family,45667
"53-Oakland-Ave,-Hanover,-MA-02339",unknown,unknown,0.0,0,unknown,0.0,Single Family,unknown
"13343-Sunkiss-Loop,-Windermere,-FL-34786",14-23-27-8393-02-180,SUMMERPORT PHASE 3 56/9 LOT 218,1.0,2005,P-D,7318.0,Single Family,SUMMERPORT PH 3
"9245-W-Ira-St,-Tucson,-AZ-85735",212-37-536B,MILLSTONE MANOR NO 6 LOTS 5 6 & 7 BLK 19 SERIAL NO: S7611U&X MAKE: TREASURE HOME,1.0,1972,unknown,23958.0,Manufactured,MILLSTONE MANOR
"50-E-Bellevue-Pl,-Apt-2105,-Chicago,-IL-60611",17-03-202-065-1110,(50) EAST (BELLEVUE) CONDOMINIUM SEC 03-39-14,1.0,1977,unknown,21156.0,Condo,50 EAST BELLEVUE CONDOMINIUM
"5129-N-Newton-Cir,-Park-City,-KS-67219",095-21-0-21-01-014.00,LOT 14 BLOCK A F. E. NEWTON'S 2ND. ADD.,1.0,1989,unknown,21780.0,Single Family,SUBD NO.: T03
"1641-Old-Orchard-Ln,-Seabrook,-TX-77586",1198650050023,LT 23 BLK 5 MYSTIC VILLAGE AT LAKE MIJA,1.0,2002,unknown,9583.0,Single Family,MYSTIC VILLAGE AT LAKE MIJA
"328-Union-Ave,-Runnemede,-NJ-08078",30  00124-0000-00004,LOT:4 BLK:124 DIST:30 CITY/MUNI/TWP:RUNNEMEDE BORO MAP REF:TAX MAP 8,1.0,1950,unknown,13351.0,Single Family,RUNNEMEADE GARDENS SEC M
"877-Brosmer-Dr,-Reynoldsburg,-OH-43068",013-026628-00.020,LOT 20 VILLAGES AT SUMMIT WOODS SEC 1,1.0,2002,unknown,10890.0,Single Family,VILLAGES AT SUMMIT WOODS
"3222-W-Myrtle-Ave,-Phoenix,-AZ-85051",unknown,unknown,0.0,0,unknown,0.0,unknown,unknown
"24417-Twin-Lake-Dr,-Land-O-Lakes,-FL-34639",28-26-19-0020-00000-1210,TWIN LAKE PHASE ONE PB 27 PG 22-28 LOT 121 OR 8847 PG 299 OR 9112 PG 3015 OR 9112 PG 3535 OR 9632 PG 3620,0.0,1991,R4,6182.0,Single Family,TWIN LAKE
"624-N-Main-St,-Kewaunee,-WI-54216",unknown,unknown,0.0,0,unknown,0.0,unknown,unknown
"141-S-670-E,-Pleasant-Grove,-UT-84062",53-031-0012,"LOT 14, PLAT A, TIMP HEIGHTS SUBD",1.0,1974,unknown,8276.0,Single Family,TIMP HEIGHTS
"41-Mary-St,-West-Jefferson,-OH-43162",10-00245.000,LOT 6 TOWN & COUNTRY,1.0,1954,unknown,7500.0,Single Family,WEST JEFF
"7807-Golf-Circle-Dr,-Apt-206,-Margate,-FL-33063",unknown,unknown,0.0,0,unknown,0.0,Condo,unknown
"6449-Wetherole-St,-Apt-2I,-Rego-Park,-NY-11374",03097-1251,unknown,0.0,1961,R7-1,49658.0,Condo,unknown
"3350-Mcfaddin-St,-Apt-27,-Beaumont,-TX-77706",unknown,unknown,0.0,0,unknown,0.0,unknown,unknown
"510-S-Irena-Ave,-Redondo-Beach,-CA-90277",7507-005-038,TR=10019 VAC ST ADJ ON W AND LOT 6 BLK 46,1.0,2014,RBR-1,5727.0,Single Family,10019
"713-Mainsail-Dr,-Tampa,-FL-33602",A1929195QW000017007130,ISLAND PLACE A CONDOMINIUM UNIT 713 BLDG 17 AND AN UNDIV INT IN COMMON ELEMENTS,1.0,1993,PD-A,0.0,Condo,ISLAND PLACE A CONDOMINIUM
"113-Obregon-St,-San-Antonio,-TX-78207",06750-008-0100,NCB 6750 BLK 8 LOT 10 AND 11,1.0,1984,unknown,6447.0,Single Family,CONV A/S CODE
"1632-River-Oaks-Dr,-Irving,-TX-75060",32223500010070000,IRVING RIVER OAKS 1 BLK A LOT 7 VOL2003165/32079 DD08142003 CO-DC 2235000100700 13222350001,1.0,1959,Z325,6960.0,Single Family,IRVING RIVER OAKS
"2718-Bettis-Ave,-Wasco,-CA-93280",488-284-03-00-5,"TRACT 6282, BLOCK, LOT 37",0.0,2011,unknown,6534.0,Land,unknown
"337-Early-Rd,-Columbia,-TN-38401",060076    07511T338,COUNTRYSIDE VILLAGE 338 VACANT,0.0,2016,unknown,0.0,Manufactured,COUNTRYSIDE VILLAGE
"1025-Martin-Luther-King-Jr-Dr,-Asheboro,-NC-27203",7761336777,unknown,0.0,1975,unknown,28400.0,Single Family,unknown
"625-Hidden-Cove-Dr,-Princeton,-TX-75407",R-11870-00E-0050-1,"BROOKSIDE PHASE 1A (CPN), BLK E, LOT 5",1.0,2020,unknown,0.0,Single Family,BROOKSIDE PHASE 1A (CPN)
"1901-N-River-Rd,-Algonquin,-IL-60102",19-26-251-018,DOC 91R028589 PT LT 2 S1/2 N1/2 JOHN PECHAS SUB,1.0,1993,unknown,54014.0,Single Family,JOHN PECHAS
"8600-Douglas-Ave,-Dallas,-TX-75225",00000422344000000,BLK 5620 ACS 1.76 AVERILL WAY & DOUGLAS AVE INT201600154511 DD06032016 CO-DC 5620 000 00000 1005620 000,0.0,2013,Z292,76666.0,Single Family,JOHN HOWELL ABS 580
"1615-Mariah-Way-E,-Fort-Walton-Beach,-FL-32547",34-1S-24-0597-000B-0260,CROSSWINDS LOT 26 BLK B,0.0,1987,unknown,5503.0,Single Family,CROSSWINDS
"134-Danforth-Dr,-Port-Charlotte,-FL-33980",unknown,unknown,0.0,0,unknown,8321.0,Land,unknown
"3813-Octavia-Ln,-Round-Rock,-TX-78681",R-16-4466-000H-0010,"S8524 - MAYFIELD RANCH SEC 6, BLOCK H, LOT 10",1.0,2007,unknown,7818.0,Single Family,MAYFIELD RANCH
"235th-St-W,-Rosamond,-CA-93560",unknown,unknown,0.0,0,unknown,217800.0,Land,unknown
"21515-Fairhaven-Creek-Dr,-Cypress,-TX-77433",1332810010013,LT 13 BLK 1 LAKES OF FAIRHAVEN SEC 4,1.0,2014,unknown,23535.0,Single Family,LAKES OF FAIRHAVEN
"14405-Hardtree-Dr,-Lake-Hughes,-CA-93532",3225-010-028,TR=14631 LOTS 156 AND 157,0.0,1953,LCR17500*,11338.0,Single Family,14631
"3011-Nova-Scotia-Ln,-Melbourne,-FL-32935",27-37-08-28-0000C.0-0013.00,NORTH POINTE UNIT 2 LOT 13 BLK C,1.0,1980,R1A,9148.0,Single Family,NORTH POINTE UNIT 2
"106-Ada-St,-West-Monroe,-LA-71291",unknown,unknown,0.0,0,unknown,0.0,unknown,unknown
"11114-Marbel-Ave,-Downey,-CA-90241",6254-028-032,TRACT NO 11399 LOT 12,0.0,1941,DOR2*,9529.0,Duplex-Triplex,11399
"717-Gee-St,-Salinas,-CA-93905",004-332-004-000,MAP OF LOCKE PADDON ADD TO SALINAS SUB F OF ASSRS LOT 1 OF LOTS 31 TO 36 INCL EXC SW 10 FT IN CO RD,1.0,1952,unknown,7200.0,Single Family,LOCKE PADDON ADD TO SALINAS
"1907-Arbor-Vista-Dr,-Charlotte,-NC-28262",02901308,L120 M40-521,0.0,2005,MX-1(INNOV),7821.0,Single Family,ARBOR HILLS MAP 02
"Marsh-View-Dr,-Lot-1,-Townsend,-GA-31331",unknown,unknown,0.0,0,unknown,22216.0,Land,unknown
"1009-W-Blaine-St,-Seattle,-WA-98119",186110-0326,CROWN ADD SUPL W 43 FT,1.0,1925,NR3,2580.0,Single Family,CROWN ADD SUPL
"110-3rd-Ave,-Apt-3,-St-Pete-Beach,-FL-33706",unknown,unknown,0.0,0,unknown,0.0,unknown,unknown
"502-1st-St-N,-Texas-City,-TX-77590",703000970001002,ABST 205 PAGE 6 S 100 FT OF LOTS 1 & 2 (1-2) BLK 97 TEXAS CITY,0.0,1955,unknown,10000.0,Single Family,TEXAS CITY
"23330-Westheimer-Pkwy,-Katy,-TX-77494",unknown,unknown,0.0,0,unknown,0.0,unknown,unknown
"10425-Hopcraft-Rd,-Onondaga,-MI-49264",unknown,unknown,0.0,0,unknown,0.0,Single Family,unknown
"247-Candytuft-Rd,-Reisterstown,-MD-21136",04-0416075470,SUBURBIA,1.0,1965,unknown,6600.0,Single Family,SUBURBIA
"1775-N-Lafayette-St,-Unit-1,-Denver,-CO-80218",unknown,unknown,0.0,0,unknown,0.0,Condo,unknown
"15441-Sabillasville-Rd,-Blue-Ridge-Summit,-PA-17214",23-Q20Q-23,COR OF SABELSVLE RD & SUMMIT A,0.0,1945,unknown,27443.0,Single Family,unknown
"6-Penny-Ln,-Scarsdale,-NY-10583",552689 8.530-363-25,LOT:25.000 BLK:363 SEC:8.530 DIST:552689 CITY/MUNI/TWP:GREENBURGH (TOV),1.0,1969,R-20,16988.0,Single Family,FORT HILLS ESTATES INC
"28-Asbury-Rd,-Asheville,-NC-28804",9750-04-9896-00000,DEED DATE: 07/19/2013 DEED: 5125-0158 SUBDIV: LEE NESBITT MADISON BLOCK: LOT: 1 SECTION: PLAT: 0116-0059,1.0,2005,RS4,35284.0,Single Family,LEE NESBITT MADISON
"653-Cross-Keys-Rd,-Sicklerville,-NJ-08081",unknown,unknown,0.0,0,unknown,0.0,unknown,unknown
"118-Glavera-Ave-NE,-Canton,-OH-44704",unknown,unknown,0.0,1950,unknown,13948.0,Single Family,unknown
"25117-Plantation-Dr-NE,-Atlanta,-GA-30324",17 000800110490,GAIL MYHARD 261-7855,1.0,1983,PDH,1437.0,Condo,PLANTATION AT LENOX
"4252-N-Teutonia-Ave,-Apt-201,-Milwaukee,-WI-53209",unknown,unknown,0.0,0,unknown,0.0,unknown,unknown
"161-Kaylor-Rd,-Pittsburgh,-PA-15237",611-M-305,PERRYSVILLE MANOR PLAN 41 SEC 5 LOT 25X100 KAYL OR RD 1 STY BRK VEN & FRA HSE & INT GAR,1.0,1950,unknown,5000.0,Single Family,unknown
"6750-Us-Hwy,-27-N-Apt-C23,-Sebring,-FL-33870",C-10-34-28-080-P020-C230,BLUFFS OF SEBRING CONDO PER OR 849 PG 363 UNIT C-23 PHASE 2 BLDG C + INT IN COMMON ELEMENTS,0.0,1986,R3,0.0,Condo,BLUFFS OF SEBRING CONDO
"172-Parkrose-Dr,-Buda,-TX-78610",R146327,"SUNFIELD PHASE TWO SEC FOUR, BLOCK S, LOT 6, ACRES 0.2206",1.0,2016,unknown,9609.0,Single Family,SUNFIELD PH TWO SEC FOUR
"6-Quail-Path,-Liverpool,-NY-13090",312489 094.-02-25.0,BAYBRY COMM SEC8 LOT419,1.0,1962,02 - SINGLE RESIDENCE,8141.0,Single Family,unknown
"2520-Woodside-Dr,-Lewisville,-TX-75077",R162697,HIGHLAND SHORES PH 8P BLK JD LOT 25,1.0,1992,unknown,9152.0,Single Family,HIGHLAND SHORES PH 8P
"10742-W-Flower-St,-Avondale,-AZ-85392",102-86-211,GARDEN LAKES LANDING MCR 324-10,1.0,1991,PAD,4317.0,Single Family,GARDEN LAKES LANDING
"2523-Spring-St,-Pittsburgh,-PA-15210",13-R-284,F A & A A ARMHEINS PLAN 12 LOT 24X109.5 SPRING ST 2 1/2 STY FRA HSE 2523,1.0,1912,unknown,2628.0,Single Family,unknown
"59274-Herwig-Rd,-Trlr-47,-Slidell,-LA-70461",unknown,unknown,0.0,0,unknown,0.0,unknown,unknown
"14400-Vose-St,-Apt-203,-Van-Nuys,-CA-91405",unknown,unknown,0.0,0,unknown,0.0,Apartment,unknown
"1620-S-Chance-Ave,-Apt-117,-Fresno,-CA-93702",unknown,unknown,0.0,0,unknown,0.0,unknown,unknown
"9350-S-Cimarron-Rd,-Unit-2080,-Las-Vegas,-NV-89178",unknown,unknown,0.0,0,unknown,0.0,unknown,unknown
"1433-Royer-St,-Des-Moines,-IA-50316",110/05806-000-000,LOT 43 VAN VLIET MEADOWS,1.0,1923,unknown,7250.0,Single Family,VAN VLIET MEADOWS
"8099-Bridle-Path-Cir,-Jurupa-Valley,-CA-92509",166-511-010,LOT 10 MB 180/076 TR 21807,1.0,1988,A1,20473.0,Single Family,unknown
"12615-Huntingwick-Dr,-Houston,-TX-77024",0993690000116,UNIT 116 BLDG P .005154 INT COMMON LAND & ELE MEMORIAL DRIVE T/H,1.0,1967,unknown,0.0,Condo,MEMORIAL DRIVE
"3711-Landon-Park-Dr,-Katy,-TX-77449",1160420030043,LT 43 BLK 3 WESTFIELD TERRA R/P,1.0,1994,unknown,6508.0,Single Family,WESTFIELD TERRA R/P
"4312-Airport-Blvd,-Austin,-TX-78722",unknown,unknown,0.0,0,unknown,0.0,unknown,unknown
"2028-Kays-Mill-Rd,-Finksburg,-MD-21048",04-059859,LT 29- 1.128 AC KAYS MILL ROAD SC 1 STARVIEW ESTS 31-04 PL B,1.0,1990,unknown,48787.0,Single Family,STARVIEW ESTATES AMD
"1344-Stuart-St,-Denver,-CO-80204",05061-10-025-000,SUBD:WEST COLFAX SUBDIVISION L 8 & N 1/2 L 9 BLK 6 WEST COLFAX SUB,1.0,1905,U-RH-2.5,9370.0,Single Family,WEST COLFAX SUBDIVISION
"6252-N-Lee-St,-Apt-14,-Morrow,-GA-30260",unknown,unknown,0.0,0,unknown,0.0,unknown,unknown
"1068-Ringwood-Ave,-Ste-1,-Haskell,-NJ-07420",unknown,unknown,0.0,0,unknown,0.0,unknown,unknown
"13068-E-Adams-Rd,-Hammond,-LA-70403",3193500,LOT 17 CROWN FOREST EST SUB IN SECS 9 T7SR7E B552 P702-703 B517 P826 B721 P383 B974 P533 B1299 P806,1.0,1978,unknown,43560.0,Single Family,CROWN FOREST SUB
"5161-Bluegrass-Trl,-Grovetown,-GA-30813",061A031B,LOT 31 1.938 ACS; LEWISTON DOWNS; WAS 061A-031,1.0,1980,unknown,84419.0,Single Family,LEWISTON DOWNS
"2235-Catamaran-Dr,-Lake-Havasu-City,-AZ-86404",unknown,unknown,0.0,0,unknown,0.0,Single Family,unknown
"401-S-El-Cielo-Rd,-Unit-176,-Palm-Springs,-CA-92262",502-262-057,UNIT 176 CM 061/169 NAME=INT IN COM IN LOT 5 OF TR 19396 MB 144/061,0.0,1985,unknown,1179.0,Condo,NAMEINT IN COM IN LT 5 OF TR 1
"2945-W-Peterson-Ave---B,-Chicago,-IL-60659",unknown,unknown,0.0,0,unknown,0.0,Apartment,unknown
"2127-Green-St,-Philadelphia,-PA-19130",15-2-0453-00,"256'11""W 21ST ST",1.0,1909,RM1,2046.0,Condo,unknown
"306-Upper-Mountain-Ave,-Montclair,-NJ-07043",1300602000000023  01,unknown,1.0,1995,unknown,38124.0,Single Family,unknown
"385-Piermont-Ave,-Hillsdale,-NJ-07642",27  01404-0000-00031,LOT:31 BLK:1404 DIST:27 CITY/MUNI/TWP:HILLSDALE BORO,1.0,1964,unknown,6299.0,Single Family,unknown
"8507-Sagestone-Ct,-Houston,-TX-77095",1256800030006,LT 6 BLK 3 COPPER LAKES SEC 13,1.0,2005,unknown,11609.0,Single Family,COPPER LAKES
"11319-Corum-St,-Houston,-TX-77089",0966190000019,LT 19 BLK 41 BEVERLY HILLS SEC 8,1.0,1964,unknown,8398.0,Single Family,BEVERLY HILLS SEC 8
"302-Sagebrush,-Pharr,-TX-78577",P6500-03-000-0302-00,PHARR SOUTH UT NO. 3 LOT 302,0.0,1991,RM,5001.0,Manufactured,PHARR SOUTH UT NO. 3 - SPA
"258-W-Nicklaus-Ave,-Kalispell,-MT-59901",unknown,unknown,0.0,0,unknown,0.0,unknown,unknown
"139-Seabreeze-Dr,-Murrells-Inlet,-SC-29576",470-04-01-0092,MYRTLE DUNES; LOT 6 BL 4,0.0,2000,unknown,9148.0,Single Family,unknown
"114-E-Oak-St,-Palmyra,-PA-17078",16-2291564-356327-0000,CONTROL #38013281,1.0,1950,unknown,9583.0,Single Family,unknown
"1512-N-Florence-Pl,-Tulsa,-OK-74110",24125-03-29-04920,LOT-8-BLK-2,1.0,1952,RS3,7841.0,Single Family,LOUARD HGTS ADDN
"11890-W-135th-St,-Overland-Park,-KS-66221",unknown,unknown,0.0,0,unknown,0.0,unknown,unknown
"11209-Fetterly-Rd-W,-Hopkins,-MN-55305",11-117-22-14-0038,003 001 BURANDTS 1ST ADDN 140 X 311.26,1.0,1981,R-1,43560.0,Single Family,BURANDTS 1ST ADDN
"1465-Culpepper-Dr,-Naperville,-IL-60540",08-20-410-005,HUNTINGTON ESTS UNIT 2 ALL,1.0,1979,R,9583.0,Single Family,HUNTINGTON ESTS
"2722-Halsey-Dr,-Flower-Mound,-TX-75028",R186131,STONE CREEK ADDN PH 3 BLK C LOT 3,0.0,1997,unknown,8050.0,Single Family,STONE CREEK ADDN PH 3
"6261-E-Canyon-Crossing-Dr,-Nampa,-ID-83687",unknown,unknown,0.0,2020,unknown,10890.0,Single Family,unknown
"26076-Weigel-Rd,-New-Boston,-MI-48164",75 115 01 0109 000,29B109 LOT 109 WILLOW HEIGHTS SUB T4S R9E L57 P98 WCR,1.0,1977,unknown,5227.0,Single Family,WILLOW HEIGHTS SUB
"16-Sylvester-St,-Manchester,-NH-03102",MNCH M:0762 B:000 L:0015,LOT:15 CITY/MUNI/TWP:MANCHESTER,1.0,1930,unknown,6600.0,Single Family,unknown
"10527-Driver-Ave,-Saint-Louis,-MO-63114",15M-6-1-054-4,ASHBY MEADOWS PLAT 1,1.0,1959,R4,7701.0,Single Family,ASHBY MEADOWS PLAT 1
"716-N-Atlanta-St,-Owasso,-OK-74055",61350-14-30-06130,LT 16 BLK 5,0.0,1965,RS3,7057.0,Single Family,SHERRILL ESTATES
"123-Wayward-Dr,-Durham,-NC-27703",194019,PROP-PAGE IRA H/BLK:B/LT#7,1.0,0,RR,21475.0,Manufactured,PROP-PAGE IRA H
"402-Shady-Oaks-Cir,-Denton,-TX-76208",unknown,unknown,0.0,0,unknown,0.0,unknown,unknown
"59604-Plum-Nearly-Rd,-Bogalusa,-LA-70427",unknown,unknown,0.0,0,unknown,0.0,Single Family,unknown
"105-Hickory-Hills-Dr,-Murfreesboro,-TN-37128",100C-A-012.00-000,LOT 11 HICKORY HILLS SEC 1 PB 5 PG 112 125.9 X 204.2 IRR,1.0,1982,unknown,25709.0,Single Family,HICKORY HILLS SEC 1
"955-Eudora-St,-Apt-1603,-Denver,-CO-80220",06064-08-240-240,PARK MAYFAIR CONDOS U-1603E PRK-54E STR-18E,1.0,1966,G-MU-20,431.0,Condo,PARK MAYFAIR CONDOS
"321-323-Shore-Dr,-Apt-16---UNIT-23,-Highlands,-NJ-07732",19  00112-0000-00012-  16,unknown,0.0,1972,MF,0.0,Condo,unknown
"490-Hoffman-Ave,-Apt-311,-Trenton,-NJ-08618",unknown,unknown,0.0,0,unknown,0.0,unknown,unknown
"108-S-Ellyn-Ave,-Glen-Ellyn,-IL-60137",05-23-220-044,SCHUETZS RESUB OF LTS 1 TO 4 IN KNIGHTS DIV,1.0,1970,R,10019.0,Single Family,SCHUETZS RESUB OF KNIGHTS
"1025-E-Young-St,-Longview,-TX-75602",0900000618-026-05-02,LT 26E NCB 618 ELLIS ACREAGE,0.0,1921,unknown,7500.0,Single Family,LONGVIEW NCB
"21423-Old-Owen-Rd,-Monroe,-WA-98272",28073200302500,SEC/TWN/RNG/MER:SEC 32 TWN 28 RNG 07 SEC 32 TWP 28 RGE 07TH PTN SW14 SW14 LY S WOODS CR DAF BEG SE COR SD SW14 SW14 TH N 30FT TH W PLT S LN SD SUB 130FT TPB TH CO,0.0,1979,SP,15682.0,Apartment,SP 7906150365
"7440-N-Hermitage-Ave,-Apt-3G,-Chicago,-IL-60626",11-30-411-023-1029,unknown,1.0,1926,unknown,14996.0,Condo,HERMITAGE AVE CONDO
"888-E-Quincy-Ave,-Englewood,-CO-80113",2077-11-2-03-011,SUBDIVISIONCD 011700 SUBDIVISIONNAME CHERRYS BROADWAY GARDENS BLOCK 008 LOT 000 NE 1/4 OF BLK 8 CHERRYS BDWY GDNS,0.0,1953,unknown,46174.0,Single Family,CHERRYS BROADWAY GARDENS
"444-Niu-St,-Apt-3405A,-Honolulu,-HI-96815",unknown,unknown,0.0,0,unknown,0.0,unknown,unknown
"4751-Hamburg-St,-Las-Vegas,-NV-89147",163-20-410-005,TIBURON 2-UNIT #1 PLAT BOOK 70 PAGE 99 LOT 134 BLOCK 4,1.0,1996,unknown,5663.0,Single Family,TIBURON 2-UNIT #1
"10504-Lord-Dr,-Saint-Louis,-MO-63136",10F-1-4-002-8,CASTLE POINT UNIT NO 2,1.0,1957,R5,6499.0,Single Family,CASTLE POINT UNIT NO 2
"2304-Oak-Ln,-Ste-236,-Grand-Prairie,-TX-75051",unknown,unknown,0.0,0,unknown,0.0,unknown,unknown
"1112-Stoeber-Ave,-Sarasota,-FL-34232",0038-11-0020,LOT 7 BLK B PLEASANT ACRES,1.0,1985,RE2,43750.0,Single Family,PLEASANT ACRES
"5212-Ne-37th-St,-Kansas-City,-MO-64117",unknown,unknown,0.0,0,unknown,0.0,unknown,unknown
"707-S-Windsor-St,-Windsor,-MO-65360",10-1.0-12-002-007-003.000,MARY E. JACKSON & OTHERS SUBD - WINDSOR - NE 100' LT 12.,0.0,1945,unknown,10000.0,Single Family,JACKSON OTHERS SUBD
"50-W-34th-St,-Unit-09A11,-Manhattan,-NY-10001",unknown,unknown,0.0,0,unknown,0.0,Apartment,unknown
"3403-Memel-St,-Apt-C,-Houston,-TX-77026",unknown,unknown,0.0,0,unknown,0.0,unknown,unknown
"705-Huron-Hl,-Madison,-WI-53711",unknown,unknown,0.0,0,unknown,0.0,Single Family,unknown
"1400-H-G-Mosley-Pkwy,-Apt-907,-Longview,-TX-75604",unknown,unknown,0.0,0,unknown,0.0,unknown,unknown
"4913-S-Narcissus-Ave,-Broken-Arrow,-OK-74011",82068-84-34-33430,LT 10 BLK 4,0.0,1987,R2,10542.0,Single Family,WINDSOR ESTATES SECOND
"233-Ligustrum-Ln,-Apt-204,-Merritt-Island,-FL-32953",unknown,unknown,0.0,0,unknown,0.0,unknown,unknown
"19043-Island-View-Dr,-Mora,-MN-55051",unknown,unknown,0.0,0,unknown,0.0,Single Family,unknown
"3329-Highway,-1045,-Amite,-LA-70422",0045781,2.9987 TOTAL ACRES-----BEING--- 1.9987 ACRES--SEC. 49--T3S-R6E; B199-P544--(FROM BARBARA JEAN MILLER); (MOBILE HOME); (HIS,1.0,1983,unknown,130680.0,Manufactured,unknown
"2426-Summit-View-St,-Grand-Prairie,-TX-75050",28049500010070000,DAISY BLK A LT 7 INT20080059333 DD02052008 CO-DC 0495000100700 4CP04950001,1.0,1952,Z315,6692.0,Single Family,DAISY
"8250-Forsyth-Blvd,-Unit-209,-Clayton,-MO-63105",unknown,unknown,0.0,0,unknown,49500.0,Condo,unknown
"PO-Box-93372,-Las-Vegas,-NV-89193",unknown,unknown,0.0,0,unknown,0.0,unknown,unknown
"1523-E-204th-St,-Euclid,-OH-44117",646-28-034,14 AMBLER 0039 ALL,1.0,1925,U2,6000.0,Single Family,W E AMBLERS
"716-S-Highland-St,-Arlington,-VA-22204",25-011-045,LT 5 COOKS ADDN TO ARLINGTON HEIGHTS 6962 SQ FT,1.0,1951,R-6,6962.0,Single Family,ARLINGTON HEIGHTS
"177-Jupiter-Trl,-Weatherford,-TX-76088",002232500100300,unknown,0.0,0,unknown,43560.0,Single Family,unknown
"721-N-Atlantic-Ave,-Pittsburgh,-PA-15224",50-C-332,ENGLEWOOD PLAN BLK C 6 LOT 34.5XAVG110.57X34.64 RR ATLANTIC AVE 1 STY BRK V BUNG 721,0.0,1955,unknown,3742.0,Single Family,unknown
"116-Richmond-Dr,-Fairview-Heights,-IL-62208",03-27-0-208-002,CAPITOL OAKS 2ND ADD LOT/SEC-161 DOC A02707278,1.0,1974,unknown,9583.0,Manufactured,CAPITOL OAKS
"801-Vance-St-E,-Wilson,-NC-27893",3721-69-7874.000,801 VANCE ST E M1P4L5 1.00LT,0.0,1969,unknown,5140.0,Single Family,unknown
"10611-Drexel-Ave,-Cleveland,-OH-44108",109-14-025,378 GRANTWOOD 0161 ALL MB109 PG14 MB28198 PG0022,1.0,1915,2F,8400.0,Duplex-Triplex,GRANTWOOD
"10844-Collins-St,-North-Hollywood,-CA-91601",unknown,unknown,0.0,0,unknown,5500.0,Single Family,unknown
"1802-Commercial-St,-Steilacoom,-WA-98388",unknown,unknown,0.0,1858,unknown,14480.0,Single Family,unknown
"1110-Sw-48th-Ter,-Apt-A201,-Cape-Coral,-FL-33914",unknown,unknown,0.0,0,unknown,0.0,unknown,unknown
